IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
192.16.65.25;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.154;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.85;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.226.124;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.41;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.226;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.188;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.86;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.155;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.247.241;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.90;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.240;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.145;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.140;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
